SG_PARTIDO_DOADOR,TOTAL_INVESTIDO
AVANTE,15351781.79
DC,4455627.2700000005
DEM,118539049.13
MDB,255943254.54
NOVO,7388485.01
#NULO#,2796.23
PATRI,12391014.67
PCB,1805185.15
PC do B,32434172.3
PCO,109650
PDT,71088489.48
PHS,16925789.93
PMB,945208.27
PMN,6408682.92
PODE,38074260.06
PP,199149692.29
PPL,1255967.48
PPS,29668220.91
PR,216258375.57
PRB,127167459.8
PROS,47374031.13
PRP,7379054.17
PRTB,3116869.77
PSB,129566238.85
PSC,38703691.66
PSD,132612267.47
PSDB,221398885.07
PSL,13493412.62
PSOL,20117796.02
PSTU,1004361.64
PT,220988856.08
PTB,87014627.84
PTC,7387154.13
PV,26267300.29
REDE,12819281.45
SOLIDARIEDADE,47178185.14
